date,source_cutoff,house,primary,incumbent,challenger,challenger_rank,actual,actual_rank_canonical,outcome,inc_support5,inc_support10,inc_family_support,inc_weighted_rr,chal_support5,chal_support10,chal_family_support,chal_weighted_rr,support5_adv,support10_adv,family_adv,weighted_rr_adv,rr_adv,inc_primary_only,inc_low_diversity,challenger_multi_support,challenger_multi_family,primary_member_count
2026-02-13,2026-02-12,Faridabad,HARUF_PYRAMID,32,39,6,46,68,NEUTRAL,1,1,1,0.02933582275558528,0,1,1,0.026773529315035495,-1,0,0,-0.0025622934405497844,-0.0092838726091381,1,1,0,0,1
2026-02-13,2026-02-12,Faridabad,HARUF_PYRAMID,32,93,7,46,68,NEUTRAL,1,1,1,0.02933582275558528,0,2,2,0.025086952652215236,-1,1,1,-0.0042488701033700435,-0.08708747967113661,1,1,1,1,1
2026-02-13,2026-02-12,Faridabad,HARUF_PYRAMID,32,34,8,46,68,NEUTRAL,1,1,1,0.02933582275558528,0,1,1,0.022063685683654057,-1,0,0,-0.007272137071931223,-0.1077504148003583,1,1,0,0,1
2026-02-13,2026-02-12,Ghaziabad,DATE_TRIAD,35,46,6,95,96,NEUTRAL,2,3,3,0.05479985392601784,0,1,1,0.01838817184066309,-2,-2,-2,-0.03641168208535475,-1.1235070264106561,0,0,0,0,1
2026-02-13,2026-02-12,Ghaziabad,DATE_TRIAD,35,74,7,95,96,NEUTRAL,2,3,3,0.05479985392601784,3,5,5,0.06677632203947718,1,2,2,0.011976468113459343,0.03228058662515676,0,0,1,1,1
2026-02-13,2026-02-12,Ghaziabad,DATE_TRIAD,35,44,8,95,96,NEUTRAL,2,3,3,0.05479985392601784,0,2,2,0.022376668931540465,-2,-1,-1,-0.032423184994477376,-0.9607873259326902,0,0,1,1,1
2026-02-13,2026-02-12,Gali,G_SQUARE_HARMONICS,27,42,6,88,89,NEUTRAL,2,3,2,0.04789569193144243,0,3,3,0.035678143519871953,-2,0,1,-0.012217548411570474,-0.22122817413824347,0,0,1,1,1
2026-02-13,2026-02-12,Gali,G_SQUARE_HARMONICS,27,52,7,88,89,NEUTRAL,2,3,2,0.04789569193144243,1,3,3,0.0393881391467519,-1,0,1,-0.00850755278469053,-0.12466442245834852,0,0,1,1,1
2026-02-13,2026-02-12,Gali,G_SQUARE_HARMONICS,27,62,8,88,89,NEUTRAL,2,3,2,0.04789569193144243,0,1,1,0.018059808588042216,-2,-2,-1,-0.02983588334340021,-0.5668140777353166,0,0,0,0,1
2026-02-14,2026-02-13,Deshawar,HARUF_PYRAMID,83,35,6,28,24,NEUTRAL,5,5,5,0.07121162054972324,1,3,3,0.07594677814878627,-4,-2,-2,0.004735157599063025,0.12517186677777414,0,0,1,1,1
